rank,model,dataset,seed,top_3_layers,avg_loes_score
4,CLIP-B32,stanford_cars,42,"[5, 6, 4]",0.7752293609082699
4,CLIP-B32,stanford_cars,123,"[5, 6, 4]",0.7732421127147973
4,CLIP-B32,stanford_cars,456,"[5, 6, 4]",0.7767812205323329
4,CLIP-B32,stanford_cars,789,"[5, 6, 4]",0.7773597384026895
4,CLIP-B32,stanford_cars,2024,"[5, 6, 4]",0.777279658941552
5,CLIP-B32,mini-imagenet,42,"[8, 9, 10]",0.6879162305655578
5,CLIP-B32,mini-imagenet,123,"[8, 9, 10]",0.6902090654087564
5,CLIP-B32,mini-imagenet,456,"[8, 9, 10]",0.68950250511989
5,CLIP-B32,mini-imagenet,789,"[8, 9, 10]",0.6902173406754931
5,CLIP-B32,mini-imagenet,2024,"[8, 9, 10]",0.6890690059711536
5,CLIP-B32,stanford-dogs,42,"[8, 10, 9]",0.7767134603733817
5,CLIP-B32,stanford-dogs,123,"[8, 10, 5]",0.7788331853225827
5,CLIP-B32,stanford-dogs,456,"[8, 10, 9]",0.7791610170776645
5,CLIP-B32,stanford-dogs,789,"[8, 10, 9]",0.7772670125899216
5,CLIP-B32,stanford-dogs,2024,"[8, 10, 9]",0.779437274672091
5,CLIP-B32,caltech-ucsd-birds-200-2011,42,"[5, 6, 7]",0.8267767880267153
5,CLIP-B32,caltech-ucsd-birds-200-2011,123,"[5, 6, 11]",0.8245841779280454
5,CLIP-B32,caltech-ucsd-birds-200-2011,456,"[5, 6, 11]",0.827351348901478
5,CLIP-B32,caltech-ucsd-birds-200-2011,789,"[5, 6, 11]",0.8298454070851827
5,CLIP-B32,caltech-ucsd-birds-200-2011,2024,"[5, 6, 7]",0.8226521015555287
2,CLIP-B32,dtd,42,"[9, 8, 10]",0.6012591862243466
2,CLIP-B32,dtd,123,"[9, 8, 10]",0.5973957717099542
2,CLIP-B32,dtd,456,"[9, 10, 8]",0.5958080234897545
2,CLIP-B32,dtd,789,"[9, 10, 8]",0.5891311605578785
2,CLIP-B32,dtd,2024,"[9, 10, 8]",0.5951565942893119
5,CLIP-B32,cifar100,42,"[8, 9, 7]",0.7424099631607533
5,CLIP-B32,cifar100,123,"[8, 9, 7]",0.7436389952587584
5,CLIP-B32,cifar100,456,"[8, 9, 7]",0.7434836910106242
5,CLIP-B32,cifar100,789,"[8, 9, 7]",0.7435121438466012
5,CLIP-B32,cifar100,2024,"[8, 9, 7]",0.7422427724425992
5,CLIP-B32,sun397,42,"[10, 9, 8]",0.7302878064025814
5,CLIP-B32,sun397,123,"[10, 9, 8]",0.7287943410143877
5,CLIP-B32,sun397,456,"[10, 9, 8]",0.7326880145507554
5,CLIP-B32,imagenet-1k,42,"[9, 8, 10]",0.6822439723376496
5,CLIP-B32,sun397,789,"[10, 9, 8]",0.7312205459456891
5,CLIP-B32,sun397,2024,"[10, 9, 8]",0.7323174238748228
5,CLIP-B32,imagenet-100,42,"[8, 9, 10]",0.7116758401195208
